Арктур;499000
Теле 2;940000
Билайн;7660000
МТС;10918010
МегаФон;9183000
Астран;30000
Газпром телеком;12000
Ростелеком;10000
ТрансТелеКом;10000
Интернод;12000
Новые мобильные коммуникации;32000
Тинькофф Мобайл;350000
